what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1555779528320
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1555779529813
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1555779533213
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1555779535549
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1555779538628
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1555779545695
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1555779549486
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1555779552036
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1555779553687
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1555779589188
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1555779593784
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1555779639497
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1555779645616
opened,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1555779647446
activated,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1555779648074
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1555779653197
opened,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1555779655929
activated,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1555779656195
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1555779657957
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1555779658725
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1555779659437
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1555779676359
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1555779713202
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1555779729641
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1555779752959
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1555779754952
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1555779762529
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1555779763104
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1555779783381
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1555779791713
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1555779799870
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1555779804154
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1555779805873
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1555779806647
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1555779807365
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1555779812969
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1555779817562
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1555779821981
